"Município";"2010";"Total"
"110001 ALTA FLORESTA D'OESTE";6;6
"110002 ARIQUEMES";32;32
"110003 CABIXI";1;1
"110004 CACOAL";16;16
"110005 CEREJEIRAS";1;1
"110006 COLORADO DO OESTE";2;2
"110007 CORUMBIARA";1;1
"110008 COSTA MARQUES";1;1
"110009 ESPIGAO D'OESTE";4;4
"110010 GUAJARA-MIRIM";15;15
"110011 JARU";9;9
"110012 JI-PARANA";36;36
"110013 MACHADINHO D'OESTE";3;3
"110014 NOVA BRASILANDIA D'OESTE";3;3
"110015 OURO PRETO DO OESTE";5;5
"110018 PIMENTA BUENO";8;8
"110020 PORTO VELHO";349;349
"110025 PRESIDENTE MEDICI";2;2
"110028 ROLIM DE MOURA";2;2
"110030 VILHENA";30;30
"110033 NOVA MAMORE";4;4
"110034 ALVORADA D'OESTE";1;1
"110040 ALTO PARAISO";2;2
"110045 BURITIS";2;2
"110094 CUJUBIM";1;1
"110100 GOVERNADOR JORGE TEIXEIRA";1;1
"110110 ITAPUA DO OESTE";1;1
"110145 PARECIS";1;1
"110150 SERINGUEIRAS";1;1
"120001 ACRELANDIA";1;1
"120010 BRASILEIA";7;7
"120020 CRUZEIRO DO SUL";46;46
"120025 EPITACIOLANDIA";3;3
"120030 FEIJO";13;13
"120032 JORDAO";10;10
"120033 MANCIO LIMA";2;2
"120034 MANOEL URBANO";2;2
"120035 MARECHAL THAUMATURGO";3;3
"120038 PLACIDO DE CASTRO";3;3
"120039 PORTO WALTER";1;1
"120040 RIO BRANCO";221;221
"120042 RODRIGUES ALVES";1;1
"120043 SANTA ROSA DO PURUS";3;3
"120045 SENADOR GUIOMARD";2;2
"120050 SENA MADUREIRA";8;8
"120060 TARAUACA";21;21
"120070 XAPURI";6;6
"130002 ALVARAES";9;9
"130006 AMATURA";3;3
"130008 ANAMA";2;2
"130010 ANORI";3;3
"130014 APUI";2;2
"130020 ATALAIA DO NORTE";10;10
"130030 AUTAZES";14;14
"130040 BARCELOS";4;4
"130050 BARREIRINHA";6;6
"130060 BENJAMIN CONSTANT";33;33
"130063 BERURI";4;4
"130068 BOA VISTA DO RAMOS";1;1
"130070 BOCA DO ACRE";4;4
"130080 BORBA";8;8
"130090 CANUTAMA";3;3
"130100 CARAUARI";19;19
"130110 CAREIRO";2;2
"130115 CAREIRO DA VARZEA";2;2
"130120 COARI";25;25
"130130 CODAJAS";11;11
"130140 EIRUNEPE";45;45
"130150 ENVIRA";14;14
"130160 FONTE BOA";5;5
"130165 GUAJARA";3;3
"130170 HUMAITA";6;6
"130180 IPIXUNA";4;4
"130185 IRANDUBA";9;9
"130190 ITACOATIARA";23;23
"130195 ITAMARATI";2;2
"130200 ITAPIRANGA";3;3
"130210 JAPURA";1;1
"130220 JURUA";1;1
"130230 JUTAI";3;3
"130240 LABREA";13;13
"130250 MANACAPURU";25;25
"130255 MANAQUIRI";1;1
"130260 MANAUS";789;789
"130270 MANICORE";15;15
"130280 MARAA";8;8
"130290 MAUES";21;21
"130300 NHAMUNDA";2;2
